user_id,course_id,rating
1,37586,5
1,33821,4
1,32118,5
1,27236,5
1,21876,4
1,13352,4
1,21172,5
1,969,5
1,895,5
1,15494,4
1,31759,4
1,32833,5
1,41772,4
1,753,4
1,30248,5
1,28463,2
1,26890,1
2,4866,5
2,29656,4
2,1303,5
2,37645,5
2,27519,4
2,40286,5
2,40117,4
2,29211,4
2,38165,4
2,16262,4
2,24332,5
2,1073,5
2,633,5
2,16533,4
2,26022,5
2,27424,4
2,1326,4
2,26139,4
2,1776,5
2,29689,5
2,27210,5
2,32360,4
2,41254,4
2,15531,2
2,38508,2
2,29497,2
2,34856,2
3,26874,4
3,9625,5
3,38323,5
3,31504,5
3,38305,5
3,30318,4
3,29224,4
3,25819,5
3,6987,5
3,36477,4
3,33959,5
3,1553,5
3,10263,4
3,656,5
3,39399,4
3,2255,5
3,9584,4
3,40267,4
3,10904,5
3,12790,4
3,4404,4
3,31246,5
3,39534,4
3,24669,1
3,38573,1
4,17829,5
4,35330,4
4,18820,4
4,19196,4
4,35858,4
4,18452,5
4,21008,4
4,21097,4
4,35528,4
4,22663,4
4,138,4
4,34307,4
4,24799,4
4,24370,4
4,17385,4
4,25333,5
4,23284,4
4,34617,4
4,33410,3
4,14334,2
4,37421,3
4,8939,3
5,20137,4
5,16616,5
5,19830,4
5,19226,5
5,21519,5
5,17229,4
5,19229,4
5,17467,5
5,18840,4
5,15240,4
5,19744,4
5,39212,4
5,23257,4
5,23188,4
5,24677,5
5,20797,5
5,14893,1
5,30804,3
5,4554,2
5,11601,3
5,29319,2
6,36175,4
6,19051,4
6,20461,5
6,25429,4
6,22019,4
6,1058,4
6,34312,4
6,168,5
6,1132,5
6,34147,5
6,1042,4
6,790,5
6,34544,4
6,36000,5
6,36438,5
6,38117,4
6,19130,5
6,1039,5
6,36520,5
6,8498,4
6,20254,4
6,1513,5
6,34917,4
6,36424,2
6,14177,2
7,1043,5
7,204,4
7,22336,4
7,16250,5
7,24910,4
7,18602,4
7,22044,4
7,339,5
7,20158,5
7,37325,4
7,37824,5
7,24345,4
7,20960,5
7,18207,5
7,1230,5
7,21235,4
7,24578,4
7,18846,5
7,3579,2
7,523,2
7,25122,3
7,9338,3
8,7095,4
8,12385,4
8,25495,5
8,4043,5
8,17746,4
8,34307,4
8,26041,4
8,12337,4
8,20420,5
8,10960,4
8,4352,4
8,1200,5
8,17514,5
8,4219,4
8,17163,5
8,28043,4
8,29457,3
8,3375,2
9,21554,5
9,13130,5
9,12208,4
9,14768,4
9,19921,5
9,19827,4
9,3195,5
9,7294,4
9,19117,4
9,23686,5
9,21985,5
9,21005,5
9,14617,5
9,16369,4
9,39690,5
9,11456,4
9,21026,5
9,22557,4
9,6638,5
9,1302,4
9,27513,2
9,31921,2
9,5106,1
10,27895,5
10,17835,4
10,30620,5
10,28356,5
10,30421,5
10,20729,5
10,27581,5
10,37691,4
10,5188,5
10,16066,4
10,31153,4
10,17674,5
10,29669,5
10,18824,4
10,25269,4
10,13409,5
10,40077,4
10,37987,4
10,27714,4
10,30563,4
10,37550,4
10,4,4
10,27784,5
10,34879,2
10,31611,3
11,25410,5
11,15678,5
11,35228,5
11,43,5
11,41003,5
11,21631,4
11,7393,5
11,35406,5
11,34427,5
11,39171,4
11,10830,5
11,8861,5
11,16857,4
11,12208,5
11,36354,5
11,23393,4
11,8603,5
11,24332,4
11,24250,2
11,23125,2
11,38224,2
11,5928,3
12,981,5
12,30903,5
12,30607,4
12,28473,5
12,37425,5
12,32843,5
12,30965,5
12,945,4
12,22244,5
12,23456,4
12,31133,5
12,29966,5
12,20702,5
12,38312,4
12,17335,5
12,231,5
12,24715,5
12,35044,4
12,9745,3
12,2762,2
12,31220,3
12,2772,2
12,6729,1
13,24798,4
13,9007,4
13,4076,4
13,4387,4
13,6204,4
13,2427,4
13,7771,5
13,40893,4
13,18949,4
13,9561,5
13,4074,5
13,12080,5
13,17591,4
13,4901,4
13,25434,4
13,15964,5
13,18447,4
13,16008,4
13,16594,5
13,13353,5
13,14593,2
13,5508,1
13,41795,1
13,17783,2
13,7421,3
14,35751,5
14,4074,5
14,28733,5
14,143,5
14,31133,5
14,33830,5
14,1850,4
14,31676,4
14,29226,5
14,41244,5
14,32604,4
14,21523,5
14,9615,5
14,31722,5
14,13731,4
14,23899,5
14,13443,2
14,37304,2
14,15550,2
14,26023,2
15,15344,5
15,7897,5
15,40969,5
15,19460,5
15,22966,5
15,26557,5
15,40940,5
15,22417,4
15,23085,4
15,21143,4
15,2761,5
15,8441,4
15,883,4
15,39347,4
15,19368,4
15,8,5
15,1134,5
15,34143,5
15,17741,4
15,22235,4
15,26234,5
15,24845,4
15,16559,5
15,23617,2
15,1525,2
15,39942,1
16,23292,4
16,39957,4
16,21134,5
16,337,4
16,17803,4
16,37919,4
16,38319,5
16,36058,4
16,27878,5
16,38596,5
16,16638,5
16,5876,5
16,38280,5
16,22157,5
16,17924,4
16,31504,4
16,39982,4
16,18715,4
16,16808,5
16,11998,2
16,18083,1
17,20882,4
17,34675,4
17,21674,4
17,611,4
17,16288,5
17,25322,5
17,551,5
17,439,4
17,21007,5
17,18029,5
17,25429,5
17,156,5
17,41834,5
17,33273,5
17,23632,4
17,19895,4
17,19962,5
17,25014,5
17,24978,5
17,21412,4
17,169,4
17,2030,2
17,19918,3
17,3333,3
18,18908,5
18,23205,5
18,20109,4
18,19475,5
18,19710,4
18,16926,5
18,18299,5
18,16565,4
18,16350,4
18,24168,5
18,20069,5
18,22450,5
18,16495,4
18,18369,4
18,24774,5
18,20208,4
18,9097,5
18,23951,5
18,18143,5
18,21398,4
18,16246,4
18,19312,4
18,19307,4
18,16214,5
18,39140,1
18,29572,2
19,461,4
19,25242,5
19,846,5
19,21915,5
19,30752,5
19,17378,4
19,22144,5
19,29117,5
19,16902,5
19,20216,4
19,21502,5
19,21314,5
19,16365,5
19,21001,5
19,23119,5
19,728,5
19,19518,5
19,1352,4
19,24186,4
19,22136,5
19,35214,4
19,658,5
19,22907,3
19,33826,3
20,34063,5
20,478,5
20,4997,5
20,35159,5
20,38594,4
20,28502,5
20,1761,5
20,31900,5
20,1743,5
20,37115,4
20,32506,4
20,184,4
20,8044,5
20,30680,4
20,35157,4
20,9930,5
20,1191,4
20,32953,2
20,12294,1
21,25087,4
21,36402,5
21,25,5
21,22831,5
21,18621,5
21,22884,4
21,19079,5
21,20175,5
21,19775,4
21,19977,4
21,5910,5
21,435,5
21,22758,5
21,36354,5
21,18527,5
21,21952,2
21,13834,3
21,28339,2
21,35213,2
21,7721,2
22,18189,4
22,39,4
22,24648,4
22,34823,5
22,35034,5
22,41623,4
22,337,5
22,25497,4
22,41745,4
22,23101,5
22,18527,5
22,34833,5
22,36813,4
22,17158,4
22,25506,4
22,20013,5
22,16896,5
22,27334,4
22,16365,5
22,26190,5
22,17679,5
22,8258,2
22,33518,3
22,5623,2
22,9946,1
23,19093,5
23,35295,4
23,92,4
23,34380,5
23,24120,5
23,19044,5
23,36001,4
23,24597,4
23,38117,4
23,24177,4
23,5,5
23,17910,5
23,34548,4
23,921,4
23,36568,4
23,26143,3
23,30416,2
23,24944,3
24,20105,5
24,37795,4
24,994,4
24,16669,4
24,31699,4
24,23126,4
24,23230,4
24,33059,4
24,15638,5
24,18885,4
24,16419,4
24,6833,5
24,4193,4
24,19201,4
24,37640,5
24,29681,4
24,26403,4
24,24126,4
24,14707,4
24,31308,4
24,567,5
24,1777,4
24,2238,2
24,13194,3
24,20156,1
24,4764,1
25,10711,4
25,13543,5
25,22020,5
25,8409,4
25,10309,4
25,35517,5
25,14285,4
25,16208,4
25,39673,4
25,15781,5
25,10960,5
25,2791,5
25,8672,5
25,15143,5
25,1199,5
25,17680,4
25,9348,4
25,6602,4
25,7434,5
25,27088,5
25,29466,3
25,24463,3
25,32073,1
26,22176,4
26,301,5
26,6001,5
26,22092,5
26,39234,4
26,9714,5
26,18359,5
26,19475,5
26,19195,4
26,19550,4
26,8178,4
26,19694,5
26,5895,4
26,21171,4
26,12604,5
26,17905,5
26,13759,4
26,12790,5
26,4151,4
26,24776,5
